name	coverage	copy_number
RND-1_FAMILY-63#LTR/Gypsy	1042410	72
RND-1_FAMILY-100#LTR/Gypsy	795778	210
RND-1_FAMILY-138#LTR/Gypsy	721594	148
RND-1_FAMILY-66#Unknown	693547	914
RND-1_FAMILY-64#LTR/Copia	604710	129
RND-1_FAMILY-2#LTR/Gypsy	535341	194
RND-1_FAMILY-13#LTR/Gypsy	469648	73
RND-1_FAMILY-171#LTR/Copia	456062	152
RND-1_FAMILY-351#LTR/Copia	448538	90
RND-1_FAMILY-172#LTR/Gypsy	401252	191
RND-1_FAMILY-5#LTR/Gypsy	394824	427
RND-1_FAMILY-281#LTR/Gypsy	394553	138
RND-1_FAMILY-12#LTR/Gypsy	377560	80
RND-1_FAMILY-233#LTR/Gypsy	366292	211
RND-1_FAMILY-53#LTR/Gypsy	354989	219
RND-1_FAMILY-257#LTR/Copia	343742	90
RND-2_FAMILY-219#LINE/L1	320044	361
RND-1_FAMILY-602#LTR/Gypsy	315341	135
RND-4_FAMILY-8478#Satellite	311204	35
RND-4_FAMILY-250#DNA/CMC-EnSpm	308789	169
RND-4_FAMILY-3288#LTR/Gypsy	300861	212
RND-1_FAMILY-177#LTR/Gypsy	294221	77
RND-1_FAMILY-204#LTR/Gypsy	289822	36
RND-1_FAMILY-421#LTR/Copia	288565	75
RND-1_FAMILY-79#LTR/Copia	277551	110
RND-1_FAMILY-253#LTR/Gypsy	274798	151
RND-4_FAMILY-1162#DNA/CMC-EnSpm	269624	140
RND-1_FAMILY-588#LTR/Gypsy	261760	177
RND-4_FAMILY-1068#LTR/Gypsy	260689	259
RND-1_FAMILY-466#LTR/Gypsy	257090	228
RND-1_FAMILY-128#LTR/Gypsy	253969	108
RND-1_FAMILY-23#LINE/L1	252362	369
RND-1_FAMILY-20#LTR/Gypsy	252168	85
RND-4_FAMILY-1530#DNA/CMC-EnSpm	248575	164
RND-1_FAMILY-210#LTR/Gypsy	248275	136
RND-1_FAMILY-516#LTR/Gypsy	245769	139
RND-1_FAMILY-28#Unknown	231062	607
RND-1_FAMILY-485#DNA/CMC-EnSpm	230155	193
RND-1_FAMILY-344#LTR/Gypsy	230089	92
RND-1_FAMILY-449#LINE/L1	229672	250
RND-1_FAMILY-295#LTR/Gypsy	229643	219
RND-1_FAMILY-578#LTR/Copia	224780	93
RND-4_FAMILY-4178#LINE/L1	223345	165
RND-3_FAMILY-129#Unknown	222103	511
RND-1_FAMILY-55#DNA/CMC-EnSpm	221602	102
RND-1_FAMILY-304#LTR/Gypsy	217758	63
